분야,사업내용,사업기간,직접수행,지자체보조,민간보조,출연,위탁,융자,지방비매칭,시행주체,지방비매칭여부,사업비,단위사업명,경비내역1,경비내역1사업비,경비내역2,경비내역2사업비,경비내역3,경비내역3사업비,경비내역4,경비내역4사업비,경비내역5,경비내역5사업비,경비내역6,경비내역6사업비,경비내역7,경비내역7사업비,경비내역8,경비내역8사업비,출처파일,매칭패턴,주요부처,사업비규모,사업유형,지역관련성,민간참여도,성과계획서매칭,해당_성과계획서_파일,PDF_매칭여부,PDF_사업명,PDF_예산_억원,PDF_예산_백만원,예산_검증상태,예산_오차율,PDF_출처페이지,예산_숫자,경북관련도점수,경북관련성_최종
,"전문 연구정보를 제공하고, 포항 방사광가속기를 활용지원하여 기초연구역량 제고",계속사업,N,N,N,Y,N,N,N,한국연구재단,,"59,903,000천원",방사선이용기술,기초연구기반구축(R&D),"76,063,000천원",방사선이용기술,"29,075,000천원",방사광가속기공동이용연구지원(R&D),"80,944,000천원",양성자가속기 성능향상 선행 R&D 사업(R&D),"2,274,000천원",EIC개발협력연구(R&D),"2,846,000천원",,,,,,,2. 2026년도 세입세출예산안사업별 설명서 2권.txt,출연,과학기술정보통신부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[12]2026년도 성과계획서_과학기술정보통신부.pdf,Yes,방사선이용기술개발,29.075,29075,불일치,1960.29,92,59903000,100.0,A급_직접관련
,안산 및 포항공동체 복합시설 건립 지원,계속사업,Y,Y,N,N,N,N,Y,지자체,51.15억원,"3,742,000천원",활력 복합시설 건립 지원,활력 복합시설 건립 지원,"11,761,000천원",서해5도종합발전 -,"8,540,000천원",섬 발전 협력사,"3,742,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"직접수행, 지자체보조, 지방비매칭",지자체,대규모(1000억원 이상),인프라/건설,일반,공공주도,부분매칭,,No,,0.0,0,,0.0,0,3742000,100.0,A급_직접관련
,"광양항, 울릉항 등 일반항 항만시설 확충",계속사업,Y,N,Y,N,N,N,N,국가,,"138,553,000천원",일반항,일반항,"108,316,000천원",광양(여천)항,"46,196,000천원",울릉(사동)항,"14,001,000천원",경인항,"6,853,000천원",항만시설유지보,"138,553,000천원",여수신항,"3,792,000천원",여수신북항,"15,409,000천원",,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,직접수행,국가기관,대규모(1000억원 이상),인프라/건설,전국단위,공공주도,부분매칭,,No,,0.0,0,,0.0,0,138553000,100.0,A급_직접관련
,에너지산업 경쟁력 제고 및 미래 에너지시스템 혁신,계속사업,N,Y,N,Y,N,N,Y,한국에너지기술평가원,646억원,"2,304,022,000천원",포항지진 피해구,에너지차세대리더육성사업(R&D),"5,625,000천원",포항지진 피해구,"4,458,000천원",6000 포항지진 피해관리,"4,458,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,"지자체보조, 지방비매칭",산업통상자원부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,Yes,포항지진 피해구제,4.458,4458,불일치,516728.62,413,2304022000,100.0,A급_직접관련
,포항지진 관련 피해구제 지원 및 공동체 회복을 지원하는 사업,2020년-2026년,N,Y,N,N,N,Y,Y,,646억원,"7,929,350,000천원",포항국제전시컨벤션센터건립,포항국제전시컨벤션센터건립,"4,458,000천원",회계간거래,"2,304,022,000천원",8100 회계간거래,"2,304,022,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,"출연, 융자",기타,대규모(1000억원 이상),지원/보조,일반,공공주도,매칭어려움,,No,,0.0,0,,0.0,0,7929350000,100.0,A급_직접관련
,저출산 고령사회 대응 체계 구축 등,계속사업,Y,Y,Y,N,N,N,Y,"국가, 지자체, 민간",25억원,"2,482,169,000천원",저출산고령사회정책개발 및 관리체계 구축,저출산고령사회정책개발 및 관리체계 구축,"2,892,000천원",저출산고령사회위원회 사무처지원,"9,055,000천원",청년정책 개발 및 지원체계 기반 구축,"5,909,000천원",아동수당 지원,"2,482,169,000천원",,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,"직접수행, 지자체보조, 민간보조, 지방비매칭",국가기관,대규모(1000억원 이상),R&D/연구개발,전국단위,관민협력(3자),부분매칭,,No,,0.0,0,,0.0,0,2482169000,100.0,A급_직접관련
,고령친화산업 육성 및 기술개발투자,계속사업,Y,N,Y,N,N,N,N,민간,,"2,585,398,000천원",에이지테크 기반 고령친화산업지원,에이지테크 기반 고령친화산업지원,"1,520,000천원",노인장기요양보,"2,584,914,000천원",400) 노인의료보장,"2,585,398,000천원",000 -,196천원,관(부문),202천원,6 예산안,202천원,400),1천원,,,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,"직접수행, 민간보조",민간,대규모(1000억원 이상),R&D/연구개발,일반,민간주도,매칭어려움,,No,,0.0,0,,0.0,0,2585398000,100.0,A급_직접관련
,"국민영양 및 농축수산물 안전관리 강화, 어린이 먹을거리 안전관 리로 건강한 식생활 환경조성",계속사업,Y,Y,Y,N,N,N,Y,"국가, 지자체, 식생활안전관리원 등",24.9억원,"16,370,000천원",국민영양 안전관리,국민영양 안전관리,"3,563,000천원",농축수산물 안전관리,"7,837,000천원",집단급식소 위생,"10,567,000천원",어린이 먹을거리 안전관리 강화,"2,163,000천원",,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,"직접수행, 지자체보조, 민간보조, 지방비매칭",국가기관,대규모(1000억원 이상),운영/관리,전국단위,공공주도,부분매칭,,No,,0.0,0,,0.0,0,16370000,100.0,A급_직접관련
,취약계층이 이용하는 소규모 급식소에 대한 위생 및 영양관리 지 원,계속사업,Y,Y,Y,N,N,N,Y,"국가, 지자체",853.7억원,"510,409,000천원",급식안전 지원 및 관리 강화(지원),급식안전 지원 및 관리 강화(지원),"51,382,000천원",지역지원계정 세 출 합 계,"55,112,000천원",000 -,361천원,관(부문),202천원,6 예산안,202천원,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,"지자체보조, 민간보조",국가기관,대규모(1000억원 이상),지원/보조,전국단위,공공주도,부분매칭,,No,,0.0,0,,0.0,0,510409000,100.0,A급_직접관련
,"고용패널조사 운영, 인력수급전망, 고용동향 분석, 빅데이터 활용 분석 및 고령자정책연구 지원",계속사업,Y,N,N,Y,N,N,N,한국고용정보원,,"907,959,000천원",고용동향조사분석,고용동향조사분석,"7,433,000천원",중소기업청년인,"907,959,000천원",,,,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"직접수행, 출연",고용노동부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[24]2026년도 성과계획서_고용노동부.pdf,No,,0.0,0,,0.0,0,907959000,100.0,A급_직접관련
