분야,사업내용,사업기간,직접수행,지자체보조,민간보조,출연,위탁,융자,지방비매칭,시행주체,지방비매칭여부,사업비,단위사업명,경비내역1,경비내역1사업비,경비내역2,경비내역2사업비,경비내역3,경비내역3사업비,경비내역4,경비내역4사업비,경비내역5,경비내역5사업비,경비내역6,경비내역6사업비,경비내역7,경비내역7사업비,경비내역8,경비내역8사업비,출처파일,매칭패턴,주요부처,사업비규모,사업유형,지역관련성,민간참여도,성과계획서매칭,해당_성과계획서_파일,PDF_매칭여부,PDF_사업명,PDF_예산_억원,PDF_예산_백만원,예산_검증상태,예산_오차율,PDF_출처페이지,예산_숫자,경북관련도점수,경북관련성_최종
,"반도체, 센서 등 전자분야 기술개발 지원",계속사업,N,N,N,Y,N,N,N,한국산업기술기획평가원 등,,"390,422,000천원",모빌리티실제환경모사전자파장애평가시스템구축,전자시스템산업기술개발(R&D),"2,600,000천원",PIM인공지능반도체핵심기술개발(R&D),"7,800,000천원",시장선도를 위한 한국 주도형 K-Sensor 기술개발(R&D),"27,406,000천원",인체밀착형웨어러블기기용전고체리튬고분자배터리개발(R&,"6,500,000천원",산업현장맞춤형온디바이스AI반도체기술개발(R&D),"8,400,000천원",리튬기반배터리제조소및저장취급시설안전을위한기술개발(,"1,000,000천원",시스템산업기술,"3,669,000천원",K-온디바이스AI반도체기술개발(R&D),"185,060,000천원",2. 2026년도 세입세출예산안사업별 설명서 4권.txt,출연,산업통상자원부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,390422000,286.0,B급_간접관련
,AI 응용제품 상용화를 위한 기술개발,계속사업,N,N,N,Y,N,Y,N,"민간, 한국환경산업기술원 등",,"7,147,611,000천원",토지매각대,AI응용제품 신속 상용화 지원사업(환경),"50,000,000천원",환경교육 및 홍,"7,498,000천원",,,,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,출연,산업통상자원부,대규모(1000억원 이상),R&D/연구개발,일반,민간주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,7147611000,286.0,B급_간접관련
,도로분야연구개발(RD),계속사업,N,N,N,Y,N,N,N,국토교통과학기술진흥원,,"6,538,882,000천원",내연기관차전기차전환안전성검증기술개발및튜닝승인실증(,AI데이터중심의화물차운송안전향상기술개발(R&D),"1,602,000천원",교통사고유발도로노면위험요소저감기술개발(R&D),"5,199,000천원",초장대K지하고속도로인프라안전및효율향상기술개발(R&D),"6,495,000천원",내연기관차전기차전환안전성검증기술개발및튜닝승인실증(,"8,900,000천원",과적단속효율화를위한화물차중량정보플랫폼구축및실증기,"4,000,000천원",디지털도로기반클라우드형AI-ITS센터플랫폼운영관리기술개,"1,275,000천원",,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,출연,국토교통부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[26]2026년도 성과계획서_국토교통부.pdf,No,,0.0,0,,0.0,0,6538882000,273.0,B급_간접관련
,첨단산업 RD 및 선도적 기초원천연구 지원을 위한 세계 최고 수준의 방사광가속기 1기 구축,2021년-2029년,N,N,Y,Y,N,N,N,한국연구재단 등,,"193,673,000천원",혁신원자력연구,다목적방사광가속기구축(R&D),"118,800,000천원",혁신원자력연구,"18,858,000천원",1400 원자력 진흥,"193,673,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 2권.txt,민간보조,과학기술정보통신부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[12]2026년도 성과계획서_과학기술정보통신부.pdf,No,,0.0,0,,0.0,0,193673000,234.0,B급_간접관련
,해양분야 신기술개발 및 중소기업 육성,계속사업,N,N,N,Y,N,N,N,"한국해양과학기술원, 극지연구소, 선박해양플랜트연구소",,"3,237,197,000천원",기본경비,한국해양과학기술원운영지원(R&D),"82,314,000천원",극지연구소 운영지원(R&D),"80,306,000천원",선박해양플랜트연구소 운영지원(R&D),"61,029,000천원",한국해양과학기술원 시설 지원(R&D),"13,325,000천원",극지연구소 시설 지원(R&D),"3,612,000천원",선박해양플랜트연구소 시설 지원(R&D),"5,315,000천원",,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,출연,해양수산부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[27]2026년도 성과계획서_해양수산부.pdf,No,,0.0,0,,0.0,0,3237197000,234.0,B급_간접관련
,융복합산업 기술개발 및 지원,계속사업,N,N,N,Y,N,N,N,한국산업기술진흥원 등,,"365,095,000천원",미래차 전장부품 시스템반도체 신뢰성검증센터 구축,민군기술협력(R&D)(산업부),"18,973,000천원",우수기술역량강,"365,095,000천원",,,,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,출연,산업통상자원부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,365095000,234.0,B급_간접관련
,"반도체, 센서 등 전자분야 기술개발 지원",계속사업,N,N,N,Y,N,N,N,한국산업기술기획평가원 등,,"148,959,000천원",리튬기반배터리제조소및저장취급시설안전을위한기술개발(,전자시스템산업기술개발(R&D),"2,600,000천원",PIM인공지능반도체핵심기술개발(R&D),"7,800,000천원",시장선도를 위한 한국 주도형 K-Sensor 기술개발(R&D),"27,406,000천원",인체밀착형웨어러블기기용전고체리튬고분자배터리개발(R&,"6,500,000천원",산업현장맞춤형온디바이스AI반도체기술개발(R&D),"8,400,000천원",리튬기반배터리제조소및저장취급시설안전을위한기술개발(,"1,000,000천원",시스템산업기술,"3,669,000천원",K-온디바이스AI반도체기술개발(R&D),"185,060,000천원",2. 2026년도 세입세출예산안사업별 설명서 4권.txt,출연,산업통상자원부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,148959000,234.0,B급_간접관련
,국가필수전략기술 등 미래전략산업분야 첨단나노융합제품 상용화 촉진,계속사업,Y,N,Y,Y,N,N,N,한국산업기술기획평가원 등,,"124,517,000천원",국가표준혁신및,나노인프라공정서비스역량고도화(R&D),"1,500,000천원",국가표준혁신및,"98,451,000천원",규제특례신산업창출(R&D),"4,800,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,"직접수행, 민간보조, 출연",산업통상자원부,대규모(1000억원 이상),R&D/연구개발,전국단위,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,Yes,국가표준혁신및국제협력,98.451,98451,불일치,1164.76,176,124517000,234.0,B급_간접관련
,소재부품장비 자립화를 위한 기술개발 지원,계속사업,N,N,N,Y,N,N,N,한국산업기술기획평가원 등,,"2,430,994,000천원",기타재산이자수입,소재부품기술개발(R&D),"1,290,947,000천원",기계장비산업기술개발(R&D),"219,989,000천원",소재부품장비기,"241,849,000천원",전자부품산업기술개발(R&D),"113,772,000천원",공간컴퓨팅구현을위한첨단XR디바이스부품통합형기술개발(,"7,000,000천원",무기발광 디스플레이 기술개발 및 생태계 구축사업(R&D),"50,000,000천원",초고해상도 AMOLED 기반 초실감 라이트필드 디스플레이,"6,210,000천원",차세대 모빌리티용 극한환경 적용 OLED 기술개발(R&D),"4,000,000천원",2. 2026년도 세입세출예산안사업별 설명서 4권.txt,출연,산업통상자원부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,2430994000,234.0,B급_간접관련
,소재부품장비 자립화를 위한 기술개발 지원,계속사업,N,N,N,Y,N,N,N,한국산업기술기획평가원 등,,"241,849,000천원",소재부품장비기,소재부품기술개발(R&D),"1,290,947,000천원",기계장비산업기술개발(R&D),"219,989,000천원",소재부품장비기,"241,849,000천원",전자부품산업기술개발(R&D),"113,772,000천원",공간컴퓨팅구현을위한첨단XR디바이스부품통합형기술개발(,"7,000,000천원",무기발광 디스플레이 기술개발 및 생태계 구축사업(R&D),"50,000,000천원",초고해상도 AMOLED 기반 초실감 라이트필드 디스플레이,"6,210,000천원",차세대 모빌리티용 극한환경 적용 OLED 기술개발(R&D),"4,000,000천원",2. 2026년도 세입세출예산안사업별 설명서 4권.txt,출연,산업통상자원부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,Yes,소재부품장비기술개발,1702.648,1702648,검토필요,42.04,102,241849000,234.0,B급_간접관련
